item_no,text,family,lane,argument,cluster_id,cluster_name,originator,originator_work,originator_year,real_source_cited,verdict
274,Lense–Thirring frame dragging.,A,A-REL,ARG-R05,R05,GR admits rotating-universe solutions / frame dragging,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Gödel 1949; Lense–Thirring 1918; Gravity Probe B,MISLEADING
275,Mach inertia relation.,A,A-REL,ARG-R02,R02,Mach's principle / relational mechanics allows a fixed Earth,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Ernst Mach, The Science of Mechanics (1883)",MISLEADING
276,Only relative motion observable.,A,A-REL,ARG-R03,R03,No experiment detects absolute motion; only relative motion is observable,Walter van der Kamp,The Heart of the Matter,1968,"Henri Poincaré 1904, “The Present and the Future of Mathematical Physics” (St Louis)",STANDARD PHYSICS
277,GR coordinate freedom.,A,A-REL,ARG-R01,R01,General covariance permits a stationary-Earth frame,Walter van der Kamp,De Labore Solis: Airy's Failure Reconsidered,1988,"Einstein, general relativity (1915)",STANDARD PHYSICS
278,Metric tensors Earth-centered.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
279,Null experiments fit rest Earth.,A,A-EXP,ARG-A01,A01,Michelson–Morley null proves Earth is not moving,Walter van der Kamp,The Heart of the Matter,1968,"Michelson & Morley 1887, Am. J. Sci. 34:333",STANDARD PHYSICS
280,Einstein equations symmetric.,A,A-REL,ARG-R01,R01,General covariance permits a stationary-Earth frame,Walter van der Kamp,De Labore Solis: Airy's Failure Reconsidered,1988,"Einstein, general relativity (1915)",STANDARD PHYSICS
281,Sagnac proves apparatus rotation.,A,A-EXP,ARG-A02,A02,Michelson–Gale / Sagnac interferometry shows a stationary Earth,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Michelson, Gale & Pearson 1925, ApJ 61:140",REFUTED
282,GPS Earth-centered corrections.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
283,ECI/ECEF transforms geocentric.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
284,Fermat with rotating medium.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
285,Quantum observer-defined frames.,A,A-REL,ARG-R10,R10,Quantum observer-defined frames put the observer at the centre,,,,,MISLEADING
286,Gauge freedom equality.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
287,Covariance of tensor math.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
288,Cosmological constant fine-tuned Earthward.,D,D,ARG-D13,D13,"Meaning, teleology and fine-tuning imply centrality",Robert Sungenis,The Principle (film),2014,,UNFALSIFIABLE
289,Ether stationary proposals.,A,A-EXP,ARG-A12,A12,Dayton Miller detected a real aether drift that was suppressed,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Miller 1933, Rev. Mod. Phys. 5:203; Shankland et al. 1955, Rev. Mod. Phys. 27:167",REFUTED
290,Scalar–tensor geocentric variants.,A,A-REL,ARG-R07,R07,Alternative gravity theories admit geocentric variants,,,,,NOT DEMONSTRATED
291,Teleparallel GR alternatives.,A,A-REL,ARG-R07,R07,Alternative gravity theories admit geocentric variants,,,,,NOT DEMONSTRATED
292,Coriolis terms transferred to sky.,A,A-EXP,ARG-A09,A09,Coriolis effects reassigned to a rotating sky or to electromagnetism,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Gaspard-Gustave de Coriolis 1835,STANDARD PHYSICS
293,No falsifier distinguishing frames.,A,A-REL,ARG-R11,R11,No falsifier distinguishes the frames; multiple cosmologies fit the data,Gerardus Bouw,Geocentricity,1992,,SELF-CONTRADICTED
294,Preferred CMB dipole Earthward.,E,E,ARG-E03,E03,"CMB dipole, dark flow and bulk-flow directionality",Robert Sungenis & Rick DeLano,"Galileo Was Wrong (7th ed., 2013), Vol. I ch. 3 and Vol. II ch. 10",2013,"Kashlinsky et al. 2008; Planck Int. XIII 2014, A&A 561:A97",REFUTED
295,Relational mechanics fixed Earth.,A,A-REL,ARG-R02,R02,Mach's principle / relational mechanics allows a fixed Earth,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Ernst Mach, The Science of Mechanics (1883)",MISLEADING
296,Hamiltonian Earth-origin simplicity.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
297,Anthropic coordinate justification.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
298,Kinematical equivalence.,A,A-REL,ARG-R03,R03,No experiment detects absolute motion; only relative motion is observable,Walter van der Kamp,The Heart of the Matter,1968,"Henri Poincaré 1904, “The Present and the Future of Mathematical Physics” (St Louis)",STANDARD PHYSICS
299,Navigation inertial Earth base.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
300,Variational minimal paths Earth frame.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
301,Light cone tilt reinterpretation.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
302,Symmetry breaking selects Earth.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
303,Noether charges Earth-defined.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
304,Conservation in Earth frame.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
305,Boundary conditions Earth surface.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
306,Barycentric transforms yield observer ephemerides.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
307,Ephemeris time Earth-defined.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
308,Parallax equations Earth start.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
309,Center equals measurement origin.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
310,Multiple cosmologies fit data.,A,A-REL,ARG-R11,R11,No falsifier distinguishes the frames; multiple cosmologies fit the data,Gerardus Bouw,Geocentricity,1992,,SELF-CONTRADICTED
311,Gauge choice alters story only.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
312,Renormalization frame Earth lab.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
313,Synchronization conventions Earth-based.,A,A-REL,ARG-R09,R09,Clock synchronisation / one-way light speed is conventional,,,,Reichenbach–Grünbaum conventionality thesis,STANDARD PHYSICS
314,One-way light speed conventional.,A,A-REL,ARG-R09,R09,Clock synchronisation / one-way light speed is conventional,,,,Reichenbach–Grünbaum conventionality thesis,STANDARD PHYSICS
315,Metrology standard Earth clocks.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
316,Equivalence local labs rest.,A,A-REL,ARG-R04,R04,The equivalence principle validates a local rest frame,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Einstein equivalence principle,STANDARD PHYSICS
317,No global inertial frame proven.,A,A-REL,ARG-R03,R03,No experiment detects absolute motion; only relative motion is observable,Walter van der Kamp,The Heart of the Matter,1968,"Henri Poincaré 1904, “The Present and the Future of Mathematical Physics” (St Louis)",STANDARD PHYSICS
318,Horizon problem Earth initial data.,A,A-REL,ARG-R11,R11,No falsifier distinguishes the frames; multiple cosmologies fit the data,Gerardus Bouw,Geocentricity,1992,,SELF-CONTRADICTED
319,Geodesics drawn from observers.,A,A-REL,ARG-R06,R06,Tensor/gauge/coordinate formalism can be written Earth-centred,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
320,CMB Axis of Evil.,E,E,ARG-E01,E01,CMB 'Axis of Evil' aligns with Earth / the ecliptic,Robert Sungenis & Rick DeLano,The Principle (film),2014,"Land & Magueijo 2005, PRL 95:071301; de Oliveira-Costa et al. 2004; Schwarz et al. 2004",MISLEADING
321,Quasar polarization alignment.,E,E,ARG-E04,E04,Quasar polarization alignment and large quasar groups,,,,"Varshni 1976, Ap&SS 43:3–8; Hutsemékers et al. 2005, A&A 441:915; Clowes et al. 2013, MNRAS 429:2910",MISLEADING
322,Large quasar groups ecliptic.,E,E,ARG-E04,E04,Quasar polarization alignment and large quasar groups,,,,"Varshni 1976, Ap&SS 43:3–8; Hutsemékers et al. 2005, A&A 441:915; Clowes et al. 2013, MNRAS 429:2910",MISLEADING
323,Radio galaxy handedness asymmetry.,E,E,ARG-E05,E05,Galaxy spin handedness / hemispheric bias,,,,"Land et al. 2008, MNRAS 388:1686; Longo 2011, PLB 699:224; Hayes, Davis & Silva 2017, MNRAS 466:3928; Iye, Yagi & Fukumoto 2021, ApJ 907:123; Patel & Desmond 2024, MNRAS 534:1553",REFUTED
324,Dipole anisotropy exact fit.,E,E,ARG-E03,E03,"CMB dipole, dark flow and bulk-flow directionality",Robert Sungenis & Rick DeLano,"Galileo Was Wrong (7th ed., 2013), Vol. I ch. 3 and Vol. II ch. 10",2013,"Kashlinsky et al. 2008; Planck Int. XIII 2014, A&A 561:A97",REFUTED
325,Hubble tension location bias.,E,E,ARG-E09,E09,Hubble tension shows we are at a special location,,,,"Riess et al. 2022, ApJL 934:L7; Kenworthy et al. 2019, ApJ 875:145",MISLEADING
326,Cold Spot preferred axis.,E,E,ARG-E02,E02,"CMB hemispheric asymmetry, Cold Spot, parity and variance anomalies",Robert Sungenis & Rick DeLano,The Principle (film),2014,"Planck 2018 VII, A&A 641:A7; Schwarz et al. 2016, CQG 33:184001",MISLEADING
327,Dark flow directionality.,E,E,ARG-E03,E03,"CMB dipole, dark flow and bulk-flow directionality",Robert Sungenis & Rick DeLano,"Galileo Was Wrong (7th ed., 2013), Vol. I ch. 3 and Vol. II ch. 10",2013,"Kashlinsky et al. 2008; Planck Int. XIII 2014, A&A 561:A97",REFUTED
328,GRB anisotropy.,E,E,ARG-E07,E07,Gamma-ray-burst anisotropy,,,,,NOT DEMONSTRATED
329,Galaxy spin hemisphere bias.,E,E,ARG-E05,E05,Galaxy spin handedness / hemispheric bias,,,,"Land et al. 2008, MNRAS 388:1686; Longo 2011, PLB 699:224; Hayes, Davis & Silva 2017, MNRAS 466:3928; Iye, Yagi & Fukumoto 2021, ApJ 907:123; Patel & Desmond 2024, MNRAS 534:1553",REFUTED
330,Cluster axes ecliptic.,E,E,ARG-E06,E06,Dwarf-galaxy planes and satellite alignments,,,,"Kroupa, Theis & Boily 2005, A&A 431:517; Pawlowski, Pflamm-Altenburg & Kroupa 2012, MNRAS 423:1109; Ibata et al. 2013, Nature 493:62; Müller et al. 2018, Science 359:534; Sawala et al. 2023, Nature Astronomy 7:481",MISLEADING
331,ISW correlations ecliptic-linked.,E,E,ARG-E02,E02,"CMB hemispheric asymmetry, Cold Spot, parity and variance anomalies",Robert Sungenis & Rick DeLano,The Principle (film),2014,"Planck 2018 VII, A&A 641:A7; Schwarz et al. 2016, CQG 33:184001",MISLEADING
332,Zodiacal contamination persistent.,E,E,ARG-E10,E10,Zodiacal dust and Kuiper structure show ecliptic symmetry,,,,,STANDARD PHYSICS
333,Kinematic SZ ambiguity.,E,E,ARG-E03,E03,"CMB dipole, dark flow and bulk-flow directionality",Robert Sungenis & Rick DeLano,"Galileo Was Wrong (7th ed., 2013), Vol. I ch. 3 and Vol. II ch. 10",2013,"Kashlinsky et al. 2008; Planck Int. XIII 2014, A&A 561:A97",REFUTED
334,Supernova dimming alternatives.,E,E,ARG-E13,E13,"Supernova dimming, BAO, birefringence and Lyman-alpha anisotropy",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. II (7th ed., 2013), ch. 10; Vol. I, chs 2-3",2013,,NOT DEMONSTRATED
335,BAO fits geocentric models.,E,E,ARG-E13,E13,"Supernova dimming, BAO, birefringence and Lyman-alpha anisotropy",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. II (7th ed., 2013), ch. 10; Vol. I, chs 2-3",2013,,NOT DEMONSTRATED
336,Cosmic isotropy violations.,E,E,ARG-E02,E02,"CMB hemispheric asymmetry, Cold Spot, parity and variance anomalies",Robert Sungenis & Rick DeLano,The Principle (film),2014,"Planck 2018 VII, A&A 641:A7; Schwarz et al. 2016, CQG 33:184001",MISLEADING
337,Dwarf galaxy planes coherence.,E,E,ARG-E06,E06,Dwarf-galaxy planes and satellite alignments,,,,"Kroupa, Theis & Boily 2005, A&A 431:517; Pawlowski, Pflamm-Altenburg & Kroupa 2012, MNRAS 423:1109; Ibata et al. 2013, Nature 493:62; Müller et al. 2018, Science 359:534; Sawala et al. 2023, Nature Astronomy 7:481",MISLEADING
338,Satellite alignments.,E,E,ARG-E06,E06,Dwarf-galaxy planes and satellite alignments,,,,"Kroupa, Theis & Boily 2005, A&A 431:517; Pawlowski, Pflamm-Altenburg & Kroupa 2012, MNRAS 423:1109; Ibata et al. 2013, Nature 493:62; Müller et al. 2018, Science 359:534; Sawala et al. 2023, Nature Astronomy 7:481",MISLEADING
339,CMB hemispheric power asymmetry.,E,E,ARG-E02,E02,"CMB hemispheric asymmetry, Cold Spot, parity and variance anomalies",Robert Sungenis & Rick DeLano,The Principle (film),2014,"Planck 2018 VII, A&A 641:A7; Schwarz et al. 2016, CQG 33:184001",MISLEADING
340,Low-l multipole ecliptic alignment.,E,E,ARG-E01,E01,CMB 'Axis of Evil' aligns with Earth / the ecliptic,Robert Sungenis & Rick DeLano,The Principle (film),2014,"Land & Magueijo 2005, PRL 95:071301; de Oliveira-Costa et al. 2004; Schwarz et al. 2004",MISLEADING
341,Parity asymmetry.,E,E,ARG-E02,E02,"CMB hemispheric asymmetry, Cold Spot, parity and variance anomalies",Robert Sungenis & Rick DeLano,The Principle (film),2014,"Planck 2018 VII, A&A 641:A7; Schwarz et al. 2016, CQG 33:184001",MISLEADING
342,Variance anomalies.,E,E,ARG-E02,E02,"CMB hemispheric asymmetry, Cold Spot, parity and variance anomalies",Robert Sungenis & Rick DeLano,The Principle (film),2014,"Planck 2018 VII, A&A 641:A7; Schwarz et al. 2016, CQG 33:184001",MISLEADING
343,Kinematic quadrupole debate.,E,E,ARG-E03,E03,"CMB dipole, dark flow and bulk-flow directionality",Robert Sungenis & Rick DeLano,"Galileo Was Wrong (7th ed., 2013), Vol. I ch. 3 and Vol. II ch. 10",2013,"Kashlinsky et al. 2008; Planck Int. XIII 2014, A&A 561:A97",REFUTED
344,Planck systematics Earthward.,E,E,ARG-E01,E01,CMB 'Axis of Evil' aligns with Earth / the ecliptic,Robert Sungenis & Rick DeLano,The Principle (film),2014,"Land & Magueijo 2005, PRL 95:071301; de Oliveira-Costa et al. 2004; Schwarz et al. 2004",MISLEADING
345,VLBI Earth-fixed.,E,E,ARG-E15,E15,"VLBI, interferometry and Gaia reductions presuppose the Earth's motion",,,,,MISLEADING
346,Interferometry ground assumption.,E,E,ARG-E15,E15,"VLBI, interferometry and Gaia reductions presuppose the Earth's motion",,,,,MISLEADING
347,Gaia reduction flexible.,E,E,ARG-E15,E15,"VLBI, interferometry and Gaia reductions presuppose the Earth's motion",,,,,MISLEADING
348,Zodiacal cloud symmetry.,E,E,ARG-E10,E10,Zodiacal dust and Kuiper structure show ecliptic symmetry,,,,,STANDARD PHYSICS
349,Kuiper clumps ecliptic.,E,E,ARG-E10,E10,Zodiacal dust and Kuiper structure show ecliptic symmetry,,,,,STANDARD PHYSICS
350,Dust inflow apex mismatch.,E,E,ARG-E10,E10,Zodiacal dust and Kuiper structure show ecliptic symmetry,,,,,STANDARD PHYSICS
351,Oort cloud unnecessary.,D,D,ARG-D14,D14,Dark matter / dark energy / MOND are modern epicycles,Robert Sungenis,"Galileo Was Wrong, Vol. I",2006,,MISLEADING
352,MOND epicycle analogy.,D,D,ARG-D14,D14,Dark matter / dark energy / MOND are modern epicycles,Robert Sungenis,"Galileo Was Wrong, Vol. I",2006,,MISLEADING
353,Dark energy patching.,D,D,ARG-D14,D14,Dark matter / dark energy / MOND are modern epicycles,Robert Sungenis,"Galileo Was Wrong, Vol. I",2006,,MISLEADING
354,Copernican principle assumption.,A,A-REL,ARG-R12,R12,The Copernican principle is an unproven assumption,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Zhang & Stebbins 2011, PRL 107:041301",REFUTED
355,Redshift quantization concentric.,E,E,ARG-E12,E12,Redshift quantization in concentric shells around Earth,Gerardus Bouw,Geocentricity,1992,"Tifft 1976, ApJ 206:38; Tifft & Cocke 1984, ApJ 287:492; Napier & Guthrie 1997, J. Astrophys. Astr. 18:455; Humphreys, TJ 16(2), 2002",REFUTED
356,Tully–Fisher scatter direction.,E,E,ARG-E13,E13,"Supernova dimming, BAO, birefringence and Lyman-alpha anisotropy",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. II (7th ed., 2013), ch. 10; Vol. I, chs 2-3",2013,,NOT DEMONSTRATED
357,Lyman-alpha anisotropy.,E,E,ARG-E13,E13,"Supernova dimming, BAO, birefringence and Lyman-alpha anisotropy",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. II (7th ed., 2013), ch. 10; Vol. I, chs 2-3",2013,,NOT DEMONSTRATED
358,Cosmic birefringence ecliptic.,E,E,ARG-E13,E13,"Supernova dimming, BAO, birefringence and Lyman-alpha anisotropy",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. II (7th ed., 2013), ch. 10; Vol. I, chs 2-3",2013,,NOT DEMONSTRATED
359,Radio dipoles ecliptic.,E,E,ARG-E03,E03,"CMB dipole, dark flow and bulk-flow directionality",Robert Sungenis & Rick DeLano,"Galileo Was Wrong (7th ed., 2013), Vol. I ch. 3 and Vol. II ch. 10",2013,"Kashlinsky et al. 2008; Planck Int. XIII 2014, A&A 561:A97",REFUTED
360,Solar system plane=CMB.,E,E,ARG-E11,E11,The solar-system plane coincides with the CMB axis,Robert Sungenis & Rick DeLano,The Principle (film),2014,,MISLEADING
361,Sun barycenter wobble epicyclic.,E,E,ARG-E14,E14,"Solar anomalies (oblateness, neutrinos, apex, barycentre wobble)",,,,,MISLEADING
362,Planet spacing harmonics.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
363,Lunar node locks.,D,D,ARG-D19,D19,Eclipse and lunar cycles are tuned to human timekeeping,,,,"Saros cycle, 6,585.32 days; Metonic cycle, 19 years",MISLEADING
364,Saros cycle human time.,D,D,ARG-D19,D19,Eclipse and lunar cycles are tuned to human timekeeping,,,,"Saros cycle, 6,585.32 days; Metonic cycle, 19 years",MISLEADING
365,Metonic precision.,D,D,ARG-D19,D19,Eclipse and lunar cycles are tuned to human timekeeping,,,,"Saros cycle, 6,585.32 days; Metonic cycle, 19 years",MISLEADING
366,Draconic month tuning.,D,D,ARG-D19,D19,Eclipse and lunar cycles are tuned to human timekeeping,,,,"Saros cycle, 6,585.32 days; Metonic cycle, 19 years",MISLEADING
367,Ancient stone calendars geocentric.,D,D,ARG-D01,D01,All ancient cultures were geocentric,Robert Sungenis,"Galileo Was Wrong, Vol. II",2006,,REFUTED
368,Eclipse paths on Earth.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
369,Naked-eye astronomy topocentric.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
370,Geodesy Earth-centered.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
371,WGS84 ECEF.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
372,ITRF Earth crust reference.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
373,Airliner FMS Earth grid.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
374,INS Earth updates.,A,A-EXP,ARG-A07,A07,Gyroscopes / ring-laser gyros show no Earth rotation,Bob Knodel,GlobeBusters / Behind the Curve,2018,Sagnac 1913; standard ring-laser INS engineering,SELF-CONTRADICTED
375,VOR network Earth bearings.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
376,Great-circle math.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
377,Nautical almanac geocentric.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
378,Harbor lights flat lines.,B,B,ARG-B04,B04,"Long-range visibility of ships, lighthouses and towers",Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. II",1881,,MISLEADING
379,Lighthouse visibility.,B,B,ARG-B04,B04,"Long-range visibility of ships, lighthouses and towers",Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. II",1881,,MISLEADING
380,Undersea cables straight.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
381,Oil rig sightlines.,B,B,ARG-B04,B04,"Long-range visibility of ships, lighthouses and towers",Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. II",1881,,MISLEADING
382,Leveling equipotential planes.,B,B,ARG-B06,B06,Surveyors assume a plane and make no 'allowance',Samuel Rowbotham,Earth Not a Globe,1865,Encyclopaedia Britannica article 'Levelling',SELF-CONTRADICTED
383,Hydrology planar.,B,B,ARG-B06,B06,Surveyors assume a plane and make no 'allowance',Samuel Rowbotham,Earth Not a Globe,1865,Encyclopaedia Britannica article 'Levelling',SELF-CONTRADICTED
384,River grades.,B,B,ARG-B01,B01,"Water finds its level, therefore the surface is a plane",Samuel Rowbotham,"Zetetic Astronomy (item 384: Carpenter 1885, proof 4)",1849,,REFUTED
385,Pipelines straight.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
386,Railroads negligible curvature.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
387,Highways horizon.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
388,Wind farm layout flat.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
389,Drone RTK Earth grid.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
390,Photogrammetry planar.,B,B,ARG-B11,B11,"Radar, photogrammetry, SAR and sonar assume a plane",,,,,MISLEADING
391,LiDAR ECEF.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
392,SAR interferometry.,B,B,ARG-B11,B11,"Radar, photogrammetry, SAR and sonar assume a plane",,,,,MISLEADING
